A,B,C,D,E
1.8309479437473095,-0.4113928484555909,-1.998276958697827,0.1297723171351475,0.391457201856338
-0.1792306927567206,-0.2675374135287065,0.3807700356614394,-0.0701371515057025,-0.6791771435589358
0.3236468504522138,0.053490262315955,0.8140285196774895,2.018265052532362,-1.6622774184998488
-0.7587776327516722,-0.6169787954325171,0.9175046638698646,0.9879329934672932,-0.4936034090387201
0.4914067280435812,0.9989261494246512,-0.0487966940409483,0.9021460812821842,-0.4218881862706495
0.4540518332724493,0.2051330574792271,-0.9690868409188722,-1.018862744636834,-0.0568207706208433
-0.9676209148171452,-1.0709892116819562,-2.183894203663011,0.1817018478631152,0.1180783667827984
0.8160629471686313,-0.0602920490282771,0.4264351697049019,-1.008075740216942,-1.2710932324800108
-1.3936170622246369,1.7189417769665651,-0.672261392422069,-0.8645210732231,1.2347983977871968
0.3243946952048819,-1.1167408351108303,0.2173997647851136,0.6457201040030052,1.2055168563996268
